N,psi,delta,lambda,theta,alpha,effective_beta,psi_check,selection_mode,path_index,hit_x0_zero,t_0,first_loss_time,stop_time,simulated_until,simulated_until_rule,kappa_1_at_t0,kappa_1_at_stop,X0_count_at_stop,X_0_at_stop,leading_zero_count_at_t0,first_nonzero_class_at_t0,num_classes,T_MAX
100000,1.0,0.1,3.640706700105901e-05,1.151292546497023,3.1622776601683795e-05,0.8877628613929035,0.9999999999999999,exponential,0,True,149026.0,149026.0,149026,149026,"min(t_0, 10000000)",2.19122,2.19122,0,0.0,1.0,1.0,100000,10000000
100000,1.0,0.1,3.640706700105901e-05,1.151292546497023,3.1622776601683795e-05,0.8877628613929035,0.9999999999999999,exponential,1,True,203055.0,203055.0,203055,203055,"min(t_0, 10000000)",2.23552,2.23552,0,0.0,1.0,1.0,100000,10000000
100000,1.0,0.1,3.640706700105901e-05,1.151292546497023,3.1622776601683795e-05,0.8877628613929035,0.9999999999999999,exponential,2,True,201777.0,201777.0,201777,201777,"min(t_0, 10000000)",1.42824,1.42824,0,0.0,1.0,1.0,100000,10000000
100000,1.0,0.1,3.640706700105901e-05,1.151292546497023,3.1622776601683795e-05,0.8877628613929035,0.9999999999999999,exponential,3,True,420648.0,420648.0,420648,420648,"min(t_0, 10000000)",1.78861,1.78861,0,0.0,1.0,1.0,100000,10000000
100000,1.0,0.1,3.640706700105901e-05,1.151292546497023,3.1622776601683795e-05,0.8877628613929035,0.9999999999999999,exponential,4,True,440758.0,440758.0,440758,440758,"min(t_0, 10000000)",1.4919499,1.4919499,0,0.0,1.0,1.0,100000,10000000
100000,1.0,0.1,3.640706700105901e-05,1.151292546497023,3.1622776601683795e-05,0.8877628613929035,0.9999999999999999,exponential,5,True,96799.0,96799.0,96799,96799,"min(t_0, 10000000)",1.96959,1.96959,0,0.0,1.0,1.0,100000,10000000
100000,1.0,0.1,3.640706700105901e-05,1.151292546497023,3.1622776601683795e-05,0.8877628613929035,0.9999999999999999,exponential,6,True,18441.0,18441.0,18441,18441,"min(t_0, 10000000)",2.19339,2.19339,0,0.0,1.0,1.0,100000,10000000
100000,1.0,0.1,3.640706700105901e-05,1.151292546497023,3.1622776601683795e-05,0.8877628613929035,0.9999999999999999,exponential,7,True,301109.0,301109.0,301109,301109,"min(t_0, 10000000)",1.75482,1.75482,0,0.0,1.0,1.0,100000,10000000
100000,1.0,0.1,3.640706700105901e-05,1.151292546497023,3.1622776601683795e-05,0.8877628613929035,0.9999999999999999,exponential,8,True,45649.0,45649.0,45649,45649,"min(t_0, 10000000)",2.18093,2.18093,0,0.0,1.0,1.0,100000,10000000
100000,1.0,0.1,3.640706700105901e-05,1.151292546497023,3.1622776601683795e-05,0.8877628613929035,0.9999999999999999,exponential,9,True,234600.0,234600.0,234600,234600,"min(t_0, 10000000)",2.3479,2.3479,0,0.0,1.0,1.0,100000,10000000
100000,1.0,0.1,3.640706700105901e-05,1.151292546497023,3.1622776601683795e-05,0.8877628613929035,0.9999999999999999,exponential,10,True,69036.0,69036.0,69036,69036,"min(t_0, 10000000)",4.09861,4.09861,0,0.0,2.0,2.0,100000,10000000
100000,1.0,0.1,3.640706700105901e-05,1.151292546497023,3.1622776601683795e-05,0.8877628613929035,0.9999999999999999,exponential,11,True,110006.0,110006.0,110006,110006,"min(t_0, 10000000)",1.48742,1.48742,0,0.0,1.0,1.0,100000,10000000
100000,1.0,0.1,3.640706700105901e-05,1.151292546497023,3.1622776601683795e-05,0.8877628613929035,0.9999999999999999,exponential,12,True,121441.0,121441.0,121441,121441,"min(t_0, 10000000)",1.9068999,1.9068999,0,0.0,1.0,1.0,100000,10000000
